month_key,country_key,population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
11,1,11,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
12,1,12,49.57495595,50.42504405,80.122,1.040618588,0.557844254,5.512859974,5.127447543,5.976076928,5.594033715,6.782909275,6.368606837,7.004634051,6.501630909,7.091843915,6.707064469,6.850483436,6.565211175,6.880830662,6.65746175,7.44190629,7.172035239,8.660906526,8.375238742,8.186952963,8.044253887,7.17289528,7.16890925,6.205860433,6.233030182,4.714174155,4.794588328,3.620745838,3.834983808,3.069880023,3.421114012,2.368457097,2.990541449,2.458583154,4.443848705
13,1,13,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
14,1,14,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
15,1,15,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
16,1,16,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
17,1,17,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
18,1,18,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
19,1,19,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
20,1,20,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
21,1,21,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
22,1,22,49.58490941,50.41509059,80.213,1.123846755,0.551491249,5.535837709,5.146738009,5.810813181,5.431377528,6.643568058,6.243341763,7.020387904,6.522348357,7.136296235,6.741221644,6.891853622,6.629727519,6.831110218,6.620857491,7.209690383,6.961881129,8.450789692,8.167260085,8.265317766,8.099506479,7.270904858,7.263449905,6.331625886,6.378214966,4.898719982,4.98554734,3.680461432,3.889662942,3.05257918,3.390630872,2.393606224,2.971739967,2.576437671,4.556494004
