population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
102,46.15822918,53.84177082,68.596,-0.260137167,-0.696136196,5.803788045,4.684394046,4.766460568,3.854831036,5.156807913,4.214190313,6.665341648,5.431670389,8.752973958,7.155423567,8.921916149,7.364863577,8.081974125,7.088971242,7.459500996,6.662206498,6.776077343,6.326229646,7.56235944,7.348660144,7.255638692,7.463442907,6.567890831,7.40296902,4.789269112,5.636255454,3.527428161,4.776520395,4.064907411,6.335724573,1.906048669,3.38264801,1.94161694,4.870999182
103,46.15609652,53.84390348,68.689,-0.224115233,-0.656180639,6.11069577,4.943198667,4.87894811,3.94251098,4.994590228,4.079804074,6.296810719,5.1373851,8.469832984,6.93032119,9.014647463,7.4113844,8.242770753,7.174016024,7.578282116,6.763606403,6.760913173,6.281077605,7.37972911,7.171451244,7.249127128,7.433111753,6.63570624,7.502592871,4.978552305,5.925016899,3.439999217,4.608771679,3.877202412,6.117961653,2.108761341,3.656892167,1.98343093,4.920897292
104,46.17304096,53.82695904,68.782,-0.11167546,-0.544438087,6.244717069,5.056628476,5.082138791,4.106819797,4.879612552,3.979686264,5.981949935,4.886860965,8.093268705,6.623838954,9.088908757,7.463423002,8.436326856,7.258807701,7.681383557,6.862549993,6.860176704,6.331315341,7.141064231,6.934567123,7.278589577,7.444274293,6.6586463,7.507029743,5.193481766,6.27198091,3.481964706,4.634310539,3.529688569,5.63248759,2.406219464,4.168962162,1.961862458,4.836457148
105,46.20256706,53.79743294,68.875,-0.092571498,-0.526044075,6.252836788,5.064671825,5.365084874,4.339357697,4.811369625,3.915157087,5.715590861,4.675052006,7.656729427,6.264680674,9.116764007,7.491713847,8.643378522,7.341023691,7.780669919,6.958348761,7.034145073,6.447796736,6.89140298,6.677684086,7.312345669,7.464147724,6.658352033,7.450627353,5.411262063,6.631860947,3.608764987,4.801443256,3.137372453,5.037503842,2.683902136,4.734859329,1.920028584,4.704071138
106,46.23489383,53.76510617,68.968,-0.344325218,-0.778505883,6.204149076,5.02674128,5.681702896,4.601842761,4.805691714,3.902270867,5.484692434,4.489532603,7.21722519,5.902892448,9.059168248,7.452529374,8.834651787,7.419067214,7.901356017,7.055456892,7.21901833,6.58095472,6.702915262,6.46724687,7.302806868,7.439434768,6.665585349,7.39171532,5.601169818,6.940141077,3.766864385,5.036991025,2.834925456,4.550973351,2.815905707,5.113950695,1.902171464,4.628258737
107,46.26270512,53.73729488,69.061,-0.126495181,-0.561390717,6.142066265,4.979947532,5.961741633,4.834887566,4.886395723,3.962945313,5.28496248,4.325642867,6.816386555,5.574702921,8.896416142,7.321756485,8.990627642,7.490984136,8.059719476,7.157731886,7.377194956,6.700182173,6.62059659,6.346971077,7.227103271,7.341901746,6.696768409,7.366210278,5.747863869,7.158315987,3.931404173,5.300109297,2.680097993,4.287734316,2.767178309,5.198310068,1.913476513,4.651666352
108,46.28387787,53.71612213,69.154,-0.19676007,-0.632379672,5.958824924,4.83303058,6.164350466,5.00425714,5.054143373,4.096147673,5.124555707,4.190966369,6.448183877,5.278833331,8.62147611,7.103358374,9.102306531,7.559245031,8.241978179,7.269176596,7.510462069,6.823348864,6.624494968,6.31867059,7.077797317,7.182734787,6.72997334,7.363454042,5.857695379,7.283328205,4.129592518,5.588082838,2.645101255,4.162492449,2.623941798,4.990438608,2.085122191,4.952434522
109,46.30007237,53.69992763,69.246,-0.253397877,-0.685045579,5.796903666,4.706171031,6.293154705,5.113042279,5.29693379,4.294293476,5.002592262,4.082952827,6.12834617,5.022560402,8.241310339,6.792967914,9.184564538,7.623529256,8.447700902,7.372858124,7.621478387,6.938711714,6.73236093,6.381751728,6.864777721,6.95653517,6.785754876,7.393636808,5.919139778,7.312342928,4.350227774,5.936747157,2.699384853,4.19709327,2.382065188,4.576467504,2.253304121,5.298338413
110,46.3122493,53.6877507,69.352,-0.313465038,-0.811692035,5.653896312,4.596349019,6.340521246,5.15427072,5.587785622,4.535325478,4.934638161,4.016402266,5.857284164,4.804913473,7.796815746,6.425413476,9.21555789,7.658563858,8.661427621,7.469692294,7.727103543,7.049401916,6.910365431,6.510684782,6.637187295,6.708653467,6.841072917,7.428946788,5.953139052,7.280993327,4.573218089,6.30434725,2.815460405,4.350541514,2.124023694,4.100760071,2.370502813,5.604740303
111,46.32265393,53.67734607,69.473,-0.356674336,-0.926580194,5.514832581,4.489066519,6.326309166,5.144389366,5.873902787,4.774224612,4.943539246,4.013479785,5.626751587,4.616792479,7.352722454,6.056938456,9.162519715,7.624882382,8.859988038,7.562255925,7.857800641,7.16411274,7.102116721,6.659747224,6.470825417,6.511038501,6.856692786,7.421588829,5.990738614,7.249127871,4.772103157,6.629194118,2.962570875,4.572912882,1.93866016,3.738362082,2.387926055,5.77188623
112,46.33296671,53.66703329,69.608,-0.374120953,-1.01146157,5.36708314,4.372745132,6.290523072,5.117050425,6.10682506,4.96922726,5.038980123,4.084759447,5.432517198,4.453433274,6.952231707,5.725044823,9.005940242,7.49851378,9.02559168,7.648948721,8.029438466,7.286448572,7.272127707,6.798506439,6.410464948,6.407996792,6.810763066,7.344095132,6.048645551,7.251613518,4.932274097,6.871478548,3.125866721,4.838723628,1.859385324,3.568645912,2.291341898,5.762768596
113,49.54098678,50.45901322,27.281,3.138936733,0.103570097,8.32976817,7.653546593,8.763718012,8.158176091,11.01900224,10.29854424,10.94914206,10.24117699,10.04693591,9.507376327,8.971145969,8.670252197,8.294192788,8.088655496,7.488821504,7.286149823,6.799246587,6.697789709,5.764382182,5.836046854,4.237900903,4.44010319,2.424794002,2.861102967,1.83363829,2.276147018,1.646154218,2.164800121,1.472897891,2.132940455,0.961110798,1.567189664,0.99714848,2.120002268
114,49.56994675,50.43005325,27.888,3.132492067,0.093671452,8.544298335,7.823343993,8.295946165,7.710156802,10.54870069,9.86325136,10.90935025,10.21494716,10.08533773,9.539318055,9.007000903,8.689654852,8.304721969,8.095260402,7.53543842,7.327757509,6.854301522,6.736599322,5.911630866,5.984169307,4.484824748,4.693172139,2.628812409,3.05639396,1.825918076,2.283829279,1.593410513,2.10751035,1.447166176,2.100735522,0.987565298,1.600190361,1.035575934,2.173709624
115,49.60797399,50.39202601,28.504,3.128173182,0.085485427,8.638563554,7.86112359,7.991985449,7.416141574,9.966719235,9.318707377,10.88299456,10.20299591,10.12162924,9.573173314,9.06617491,8.733642948,8.302784805,8.092427537,7.599260289,7.391567098,6.901038437,6.764060704,6.047236376,6.109140922,4.713214019,4.937557761,2.894461623,3.307086098,1.827762441,2.30810971,1.554414477,2.067099564,1.406279709,2.049192582,1.021151022,1.6509411,1.064329857,2.217032212
116,49.65086034,50.34913966,29.128,3.125388305,0.083228295,8.642821042,7.80376964,7.853714901,7.278131302,9.316905447,8.706193715,10.82368482,10.15928905,10.15290957,9.603935921,9.137136839,8.792275177,8.295927274,8.087650314,7.666919302,7.463130793,6.942971049,6.785867118,6.167993621,6.208695971,4.925787825,5.168194734,3.19432688,3.593354665,1.854717036,2.359524215,1.528817834,2.04187328,1.357285916,1.988051352,1.052208467,1.705534016,1.08587217,2.254528736
117,49.69291068,50.30708932,29.762,3.132655795,0.080814895,8.634051496,7.739836164,7.823370466,7.239600803,8.69815004,8.119805149,10.6592799,10.0125153,10.1739947,9.625094286,9.20406665,8.850838836,8.295533731,8.090430692,7.718286378,7.519728588,6.984340602,6.808460464,6.27032843,6.282687357,5.124091833,5.37676952,3.489744164,3.883898908,1.930484284,2.454303205,1.513378159,2.029108512,1.309090477,1.930184836,1.06819123,1.743756319,1.103617454,2.292981061
118,49.73005817,50.26994183,30.417,3.177057033,0.063208444,8.66687761,7.731208378,7.806714734,7.208059901,8.203602558,7.649139309,10.35301995,9.726114044,10.18049133,9.63169572,9.260826374,8.902074293,8.309618221,8.106961785,7.744090103,7.550962614,7.028364367,6.836745532,6.35460326,6.334792728,5.307137969,5.556382583,3.759562566,4.15855811,2.06717742,2.601676763,1.506877166,2.029199104,1.267835596,1.883135971,1.064232398,1.755636295,1.118968373,2.337656869
119,49.76088929,50.23911071,31.08,3.178385422,0.064714646,8.763831629,7.765962667,7.798198009,7.174052934,7.843314608,7.311106633,9.905049593,9.31442623,10.16638306,9.62725412,9.323743734,8.955970514,8.349435933,8.147429393,7.750028712,7.579269781,7.061306363,6.882482344,6.397394525,6.365865691,5.439462747,5.682948916,3.996857667,4.402191596,2.255271448,2.792498232,1.503518821,2.03609136,1.23454004,1.830454818,1.046127585,1.725881717,1.165535522,2.406113054
120,49.78641104,50.21358896,31.752,3.180743312,0.06179299,8.787989646,7.771977636,7.84519842,7.176702607,7.606030407,7.086173682,9.33647014,8.779757819,10.15324915,9.623551625,9.375473337,8.99841815,8.408566245,8.199957554,7.743805318,7.591294569,7.108798923,6.945137768,6.429828378,6.384411514,5.554947179,5.781853721,4.212206556,4.629633531,2.49612406,3.030851731,1.506610861,2.057662459,1.210890673,1.791413568,1.017082496,1.679377869,1.206728215,2.471824197
121,49.80800934,50.19199066,32.429,3.162796266,0.056140402,8.774589034,7.770049584,7.93476669,7.206940915,7.464157607,6.948939544,8.7175319,8.190402514,10.09865037,9.579361014,9.410949412,9.026739599,8.477737519,8.258752977,7.73273165,7.594295329,7.159868378,7.013173699,6.455579679,6.396149086,5.654894932,5.856871093,4.404960747,4.83593024,2.765050973,3.296747373,1.532222204,2.104574715,1.19523535,1.765724673,0.983470665,1.626117086,1.237602888,2.529230558
122,49.82796055,50.17203945,33.115,3.146962482,0.033218864,8.750551788,7.764791037,8.043131489,7.25273738,7.380125591,6.859693495,8.15481849,7.651259948,9.941355353,9.435737168,9.430054714,9.043173564,8.545758005,8.317073134,7.73114313,7.602584208,7.200085008,7.07057389,6.482657956,6.412175724,5.740455822,5.914802156,4.577932876,5.017534719,3.028973783,3.562769461,1.602767544,2.193309535,1.185529942,1.753434972,0.951917236,1.577815042,1.252741271,2.570534565
123,49.8477779,50.1522221,33.809,3.118852298,0.001757322,8.735767022,7.760537436,8.139589301,7.299401957,7.335846083,6.795688674,7.712637312,7.226083796,9.652035893,9.163621317,9.43228358,9.04733163,8.60491136,8.369615188,7.747409782,7.624751031,7.221939402,7.108447281,6.51622537,6.439635818,5.812180261,5.960029876,4.733850554,5.172587915,3.268713916,3.811694572,1.727904297,2.331581225,1.182629801,1.755907364,0.925589728,1.540251537,1.250486336,2.592833383
124,49.86763677,50.13236323,34.51,3.086315682,-0.030596155,8.67000689,7.720242025,8.221255864,7.341935141,7.351972337,6.775159672,7.373892717,6.904781751,9.246999418,8.780086248,9.440822171,9.053065873,8.673859446,8.425028262,7.792187351,7.668450708,7.232778668,7.139277358,6.551565829,6.485875571,5.853405171,5.987685839,4.861758558,5.292853981,3.477924319,4.036380412,1.889885342,2.503966255,1.183706913,1.761886776,0.904194236,1.498037147,1.273784768,2.625286982
125,49.88656895,50.11343105,35.213,3.036817158,-0.059050336,8.658573732,7.71527949,8.264176383,7.363582924,7.412978383,6.786414203,7.143476635,6.687900521,8.715993246,8.274119937,9.4381997,9.053756075,8.724920415,8.465692483,7.849326855,7.719808298,7.22734286,7.151482036,6.596166827,6.546155399,5.880738919,6.002470742,4.969072224,5.385413925,3.666796877,4.245620557,2.094206102,2.718575163,1.187008289,1.779753672,0.888093291,1.465696617,1.282929264,2.638277958
126,49.90359038,50.09640962,35.919,2.979418773,-0.101395972,8.670480468,7.723256373,8.268302353,7.36390683,7.504069138,6.820389681,7.009449325,6.558622729,8.133717963,7.715647488,9.389347475,9.01372075,8.760720024,8.494402863,7.915636764,7.776980282,7.218092776,7.155732168,6.644210558,6.611742858,5.904557434,6.01434093,5.058679306,5.456013406,3.837604537,4.436732028,2.321801467,2.958642409,1.206882493,1.820203219,0.877431667,1.44491722,1.279016253,2.634748766
127,49.91737481,50.08262519,36.628,2.908946476,-0.158289595,8.653123592,7.709173502,8.25137371,7.353215503,7.601626638,6.863436374,6.943549581,6.482154823,7.607674235,7.207407394,9.24386713,8.880479949,8.787290126,8.516370557,7.986423725,7.836581982,7.223801317,7.168194594,6.687558846,6.669881134,5.937062785,6.036047128,5.135978321,5.513229807,3.994764259,4.607735801,2.547209889,3.200916583,1.263935434,1.899438295,0.871375325,1.437029882,1.263385086,2.618706691
128,49.9270202,50.0729798,37.34,2.829734258,-0.225365936,8.569941628,7.647935655,8.240540905,7.347800217,7.683477682,6.902165145,6.923802242,6.434142043,7.202281382,6.811648727,8.978966611,8.62873125,8.804655822,8.531165229,8.057209216,7.895379615,7.254456096,7.197914072,6.722115984,6.713752384,5.983642951,6.073842875,5.206154114,5.563177466,4.140362738,4.757477119,2.756181323,3.430992433,1.367954495,2.02533717,0.870391352,1.443402239,1.237865459,2.59513636
129,52.02571018,47.97428982,29.235,2.721831742,1.111647767,11.45492346,11.10712098,11.10722388,10.72857101,10.68296752,10.35510226,10.22926281,10.023743,9.473829553,9.318736978,8.27056025,8.22821933,7.33832252,7.352031257,6.495599908,6.515613401,5.800134602,5.815651359,5.063776893,5.084751778,4.318242934,4.373556399,3.064426126,3.2888089,2.371245712,2.627237928,1.816651503,2.12434242,1.238421505,1.482986041,0.747376009,0.888313959,0.527034811,0.685212998
130,52.02862356,47.97137644,29.569,2.681685772,1.072594348,11.29294564,10.96512953,10.99559039,10.62158461,10.58695463,10.24606991,10.15646482,9.931594039,9.49229021,9.326266528,8.344247784,8.287807235,7.369014456,7.386036056,6.517967935,6.550416393,5.811812013,5.841663521,5.08262474,5.11731898,4.387083337,4.439629256,3.179394956,3.385281207,2.382062364,2.635109613,1.824116047,2.123350904,1.256537755,1.509194559,0.762129465,0.912427236,0.558763452,0.72112043
131,52.03047601,47.96952399,29.906,2.642483378,1.029591108,11.11760463,10.81965314,10.88224619,10.51233767,10.49837003,10.14903749,10.07789864,9.828298533,9.488148651,9.313803968,8.435846124,8.358745568,7.398933047,7.415204312,6.550905161,6.593578038,5.822739462,5.865231487,5.11161112,5.158335306,4.423264174,4.481696712,3.328962848,3.509716995,2.395957231,2.652122749,1.832598768,2.119670538,1.276647033,1.537283687,0.774764829,0.935771426,0.583502071,0.74951238
132,52.03104157,47.96895843,30.246,2.595371485,0.978646729,10.92912978,10.66691002,10.76496001,10.39868564,10.41483363,10.0611249,9.99815865,9.722252402,9.466534278,9.283988776,8.532732124,8.431323543,7.434639825,7.445767326,6.59171296,6.642171734,5.836036085,5.88971819,5.14715607,5.20458591,4.440536136,4.510083005,3.491277481,3.645948002,2.423578431,2.684257796,1.844187295,2.118748306,1.297263614,1.565124943,0.786972766,0.95902417,0.600290866,0.770285338
133,52.03005135,47.96994865,30.587,2.531696551,0.920523,10.71932032,10.49051545,10.64173276,10.28047189,10.3338883,9.978273098,9.923680534,9.624959052,9.436734042,9.242660647,8.617810036,8.493052812,7.48668081,7.48802055,6.636892684,6.692462638,5.857071017,5.921027943,5.183537144,5.251329872,4.459683469,4.541270255,3.636614785,3.771773614,2.47997306,2.740668268,1.860805969,2.126963198,1.316564431,1.58951981,0.800309729,0.982990557,0.608700911,0.784040349
134,52.02738244,47.97261756,30.93,2.465488847,0.854969606,10.48457793,10.28244297,10.50943139,10.15680547,10.25362562,9.896667851,9.858015734,9.542531918,9.405048084,9.194670927,8.681501188,8.536984335,7.560002479,7.546824252,6.684833454,6.742453132,5.889041949,5.962521102,5.21782544,5.296097216,4.492422632,4.584618889,3.749245397,3.874901869,2.571502661,2.82527482,1.884098391,2.147809535,1.334567896,1.609792708,0.815510917,1.008432317,0.60874884,0.791170688
135,52.02294389,47.97705611,31.276,2.400957295,0.786312982,10.25371323,10.08766295,10.38196001,10.04660778,10.17451735,9.813623724,9.796650232,9.4658734,9.366999283,9.138210386,8.72467103,8.566815319,7.648642702,7.61859239,6.731891697,6.788792969,5.925808513,6.007981351,5.242522233,5.330333959,4.522240033,4.623075064,3.818975634,3.941012079,2.679777428,2.917517334,1.902262286,2.163257962,1.347941843,1.618819407,0.835240523,1.035824466,0.646185969,0.835999458
136,52.01695592,47.98304408,31.634,2.369630953,0.709199107,9.973113817,9.821666328,10.25195195,9.942731615,10.09865095,9.736355459,9.746016493,9.405803174,9.327683129,9.076802358,8.751531132,8.58501157,7.758472216,7.707652023,6.782009082,6.836733961,5.976044018,6.066503647,5.270101227,5.367978266,4.56438504,4.673828874,3.86384032,3.990199274,2.818839966,3.037122511,1.923494768,2.186946352,1.362619941,1.62643173,0.854713709,1.064434956,0.676532248,0.873797903
137,52.00997462,47.99002538,32.003,2.342619835,0.6417004,9.67029596,9.519247929,10.11421332,9.837827562,10.02136539,9.660454899,9.70170031,9.356500684,9.288381798,9.01350284,8.763792314,8.590053078,7.876085495,7.802328587,6.83907122,6.889195031,6.035457598,6.132681594,5.301928644,5.409993594,4.614304189,4.732115346,3.894884489,4.030206571,2.969434805,3.168955431,1.956796599,2.224174657,1.37998392,1.636347361,0.873209374,1.092430971,0.699094576,0.903983865
138,52.00273006,47.99726994,32.384,2.329156081,0.583778817,9.388224617,9.234299776,9.960471112,9.717993994,9.937215822,9.582566489,9.656573557,9.308152921,9.249798779,8.952213012,8.765051349,8.580669414,7.981228643,7.885305234,6.90911823,6.950537046,6.097374541,6.198613036,5.339960086,5.457564587,4.664357256,4.79036269,3.927760236,4.072623447,3.104978885,3.291355685,2.014192195,2.282258676,1.400669126,1.652356109,0.889533185,1.116556006,0.71349238,0.926571878
139,51.99573242,48.00426758,32.777,2.323153578,0.533976836,9.154937606,9.002245341,9.783353839,9.568447354,9.843121316,9.502007269,9.605978822,9.254727393,9.212381469,8.895939075,8.758323768,8.557425539,8.061680571,7.94628046,6.994728272,7.022438906,6.158073429,6.260111276,5.385189156,5.51105573,4.710376978,4.844555601,3.970980988,4.123903736,3.21150201,3.392277819,2.100365817,2.364110668,1.425589163,1.67678466,0.903956707,1.135947034,0.71946009,0.941742142
140,51.98910675,48.01089325,33.182,2.318510266,0.486164808,8.901875801,8.743534133,9.599650169,9.40693021,9.754032941,9.432041052,9.558141593,9.204302196,9.182878972,8.855421999,8.752573594,8.535955909,8.128054609,8.001363546,7.099826929,7.111752878,6.220170267,6.323174339,5.434934979,5.568083422,4.745884775,4.888859382,4.010443223,4.171207261,3.283408671,3.460301507,2.199918224,2.45289823,1.447418118,1.698735743,0.92061543,1.150078553,0.760171706,0.99535964
141,51.98271404,48.01728596,33.6,2.315210138,0.435814529,8.753420318,8.596682137,9.375617931,9.197765288,9.6528444,9.356010142,9.500412342,9.143453366,9.149499661,8.814160223,8.732298157,8.494861071,8.168501661,8.033505553,7.215608486,7.207145265,6.277429906,6.378507117,5.490652891,5.630235025,4.778806268,4.929628114,4.055266545,4.223139557,3.330256023,3.509736056,2.322981962,2.561174217,1.468269434,1.723197962,0.935560027,1.160667617,0.792573987,1.04013129
142,51.97646036,48.02353964,34.03,2.309469966,0.388131541,8.676016482,8.525748717,9.119839003,8.949337283,9.540138918,9.272252299,9.435756985,9.077830523,9.114413828,8.77338633,8.703588129,8.44287587,8.189650099,8.046764775,7.333401721,7.302848685,6.337179487,6.432652147,5.551439902,5.696712514,4.813565095,4.971322512,4.104096862,4.278120822,3.363003392,3.550110231,2.454862957,2.677571434,1.497244215,1.756439894,0.950330982,1.171884825,0.815471943,1.074141137
143,51.9701657,48.0298343,34.472,2.303752441,0.341005141,8.616012403,8.471426327,8.859028335,8.69121651,9.408449617,9.168644121,9.368014884,9.015000337,9.079786217,8.733829192,8.675104295,8.392599675,8.201771099,8.047954586,7.44073083,7.390027305,6.410648112,6.496530341,5.616074245,5.765792821,4.856128284,5.020352157,4.154306082,4.334257068,3.397863848,3.594726307,2.575188771,2.786595652,1.546561562,1.80740935,0.966283094,1.187651734,0.828048321,1.095986516
144,51.96367329,48.03632671,34.926,2.297827591,0.294168929,8.538325363,8.395052996,8.628794492,8.463519229,9.245926414,9.028966007,9.297275808,8.9567665,9.045561743,8.694930769,8.651409159,8.350828906,8.210125277,8.04056953,7.529472175,7.462061423,6.502744376,6.575415063,5.683523898,5.835491887,4.909024597,5.079668959,4.204466771,4.390684275,3.443681299,3.649982102,2.673002799,2.880080803,1.621516144,1.880143429,0.984937867,1.209973552,0.830211818,1.10586457
