health_key,domestic_health_expenditure,num_hospital_beds,num_physicians,num_nurses,immunization_bcg,immunization_dpt,immunization_hepb,immunization_measles,immunization_polio,mort_infant,mort_infant_male,mort_infant_female,mort_non_communicable_disease,mort_non_communicable_disease_male,mort_non_communicable_disease_female,mort_unintentional_poison,mort_unintentional_poison_male,mort_unintentional_poison_female,mort_traffic_injury,mort_traffic_injury_male,mort_traffic_injury_female,mort_maternal,stillbirth_rate,fertility_rate
60,4.48380327,1.7,,,99.0,99,99,99,99,13.3,14.0,12.6,15.2,18.1,12.3,1.0,1.5,0.6,20.6,31.2,9.8,16.0,7.184400861,2.083
61,4.43784428,1.56,1.1292,2.6286,99.0,99,99,99,99,12.9,13.5,12.2,15.1,17.9,12.2,1.0,1.4,0.6,20.7,31.4,9.7,16.0,7.021628086,2.116
62,3.97810006,,1.5844,2.0766,99.0,99,99,99,99,12.4,13.0,11.8,14.9,17.7,12.1,1.0,1.4,0.6,21.7,32.9,10.2,,6.8878325,2.137
63,4.17625,,,,99.0,99,99,99,99,12.0,12.6,11.3,14.8,17.6,12.0,1.0,1.4,0.6,21.5,32.6,10.1,,6.754373565,2.146
64,4.1525,,,,99.0,99,99,99,99,12.0,12.6,11.3,14.8,17.6,12.0,1.0,1.4,0.6,21.5,32.6,10.1,,6.754373565,2.146
65,1.35689592,1.84,1.2127,,86.0,87,84,86,87,20.3,21.7,18.9,21.8,26.1,16.9,2.0,2.4,1.7,20.8,30.3,10.8,44.0,13.20540049,1.612
66,1.37703073,1.91,1.247,,92.0,93,91,93,94,18.7,19.9,17.3,20.7,24.9,16.0,2.0,2.3,1.7,20.7,30.2,10.8,42.0,12.51567384,1.615
67,1.42784166,1.99,1.2676,,94.0,93,92,94,94,17.2,18.3,15.9,20.0,24.3,15.3,2.0,2.3,1.7,20.9,30.5,10.7,40.0,11.87134246,1.617
68,1.72623491,2.13,1.3166,,97.0,97,95,97,99,15.8,16.9,14.7,19.6,24.1,14.7,2.1,2.4,1.8,20.5,30.1,10.4,40.0,11.29953388,1.62
69,2.1349082,2.29,1.3922,,99.0,99,99,99,99,14.7,15.7,13.6,19.3,23.9,14.2,2.1,2.4,1.8,20.5,30.0,10.4,37.0,10.72548636,1.623
70,2.18420982,2.47,1.4334,,99.0,99,99,99,99,13.6,14.5,12.6,19.0,23.8,13.8,2.1,2.4,1.8,20.3,29.7,10.3,36.0,10.15080187,1.627
71,2.32375598,2.69,1.4596,,99.0,99,99,99,99,12.6,13.4,11.6,18.7,23.6,13.4,2.1,2.4,1.8,20.7,30.2,10.7,34.0,9.596807486,1.632
72,2.53561926,3.01,1.5367,,99.0,99,99,99,99,11.6,12.4,10.8,18.3,23.3,12.8,2.1,2.3,1.8,20.3,29.7,10.4,33.0,9.108579241,1.639
73,2.68708181,3.29,1.6332,1.9886,99.0,99,99,99,99,10.8,11.5,10.0,17.7,22.8,12.3,2.0,2.3,1.7,19.6,28.7,10.0,32.0,8.599360296,1.647
74,2.78830409,3.55,1.6877,2.1349,99.0,99,99,99,99,9.9,10.6,9.2,17.2,22.1,12.0,2.0,2.3,1.7,18.8,27.6,9.5,31.0,7.893681947,1.656
75,2.94208264,3.79,1.7732,2.2914,99.0,99,99,99,99,9.2,9.8,8.6,16.8,21.7,11.7,2.0,2.3,1.6,18.3,26.8,9.2,30.0,7.427123299,1.665
76,2.89454412,4.02,1.8647,2.4665,99.0,99,99,99,99,8.5,9.0,7.9,16.6,21.4,11.5,1.9,2.3,1.6,18.0,26.4,9.2,29.0,6.608143712,1.675
77,2.91935277,4.31,1.9798,2.6621,99.0,99,99,99,99,7.9,8.4,7.3,16.3,20.8,11.4,1.9,2.2,1.6,17.8,26.0,9.1,29.0,6.094397061,1.683
78,3.018888,,,,99.0,99,99,99,99,7.3,7.7,6.8,16.0,20.4,11.3,1.8,2.1,1.5,17.6,25.7,9.0,,5.789762508,1.69
79,3.0076,,,,99.0,99,99,99,99,6.8,7.2,6.3,15.9,20.2,11.2,1.8,2.1,1.5,17.4,25.3,8.9,,5.54195559,1.696
80,3.03312,,,,99.0,99,99,99,99,6.8,7.2,6.3,15.9,20.2,11.2,1.8,2.1,1.5,17.4,25.3,8.9,,5.54195559,1.696
81,2.90080619,3.6,,1.0045,,77,77,63,74,12.1,12.7,11.6,20.1,23.4,16.5,0.6,0.7,0.5,17.0,26.7,6.9,24.0,9.214840252,2.002
82,3.5476532,3.6,2.4707,,,78,78,69,75,11.2,11.7,10.7,20.1,23.6,16.3,0.5,0.6,0.4,16.4,25.7,6.7,24.0,8.839823358,1.956
83,3.51208067,3.43,2.3464,1.4539,,80,80,74,75,10.5,10.9,10.0,20.5,24.3,16.3,0.6,0.8,0.5,14.9,23.7,5.8,23.0,8.472516588,1.93
84,3.0695622,3.43,,,,81,81,79,75,9.8,10.2,9.4,20.6,24.7,16.1,0.6,0.8,0.5,14.8,23.6,5.7,23.0,8.165789793,1.925
85,2.74049711,3.45,,1.7218,,81,81,80,76,9.3,9.6,8.8,20.7,24.9,15.9,0.6,0.8,0.5,14.8,23.6,5.6,23.0,7.909563951,1.938
86,3.0026474,3.45,2.3385,1.7748,,82,81,80,77,8.8,9.2,8.4,20.7,25.0,15.7,0.6,0.8,0.5,14.6,23.4,5.5,23.0,7.642121021,1.966
87,3.56870103,3.45,2.6201,,,82,80,81,79,8.4,8.7,8.0,20.8,25.4,15.8,0.6,0.8,0.5,14.8,23.9,5.6,25.0,7.437977724,2.002
88,3.98168182,3.45,,,,83,80,81,80,8.0,8.4,7.7,20.8,25.4,15.7,0.6,0.8,0.4,15.9,25.6,5.9,25.0,7.271799119,2.038
89,3.76557779,2.86,2.2486,1.5314,,83,80,82,81,7.7,8.0,7.4,20.8,25.5,15.6,0.6,0.7,0.4,16.0,25.8,6.0,27.0,7.119714871,2.069
90,3.92682624,2.85,2.0735,1.6686,,83,80,82,81,7.4,7.7,7.1,20.7,25.4,15.6,0.5,0.7,0.4,16.1,26.1,6.0,28.0,6.964457727,2.091
91,3.81750727,3.37,2.103,1.5416,,83,80,82,81,7.1,7.4,6.8,20.6,25.3,15.5,0.5,0.7,0.4,16.2,26.2,6.0,29.0,6.852040382,2.103
92,4.04652405,2.73,2.0115,1.572,,83,80,82,81,6.8,7.1,6.5,20.4,25.0,15.5,0.5,0.7,0.4,16.2,26.3,6.0,29.0,6.732069932,2.104
93,4.35164213,2.73,2.0255,1.6418,,83,80,82,81,6.6,6.8,6.3,20.3,24.9,15.4,0.6,0.7,0.4,16.3,26.4,6.1,29.0,6.592791908,2.097
94,4.17827749,,2.1038,1.6735,,83,80,82,81,6.4,6.6,6.1,19.9,24.2,15.2,0.5,0.6,0.3,16.3,26.3,6.1,,6.46391979,2.087
95,4.4455,,,,,83,80,82,81,6.2,6.4,5.9,19.9,24.2,15.2,0.6,0.7,0.4,16.4,26.8,6.0,,6.335582178,2.075
96,4.5842,,,,,83,80,82,81,6.2,6.4,5.9,19.9,24.2,15.2,0.6,0.7,0.4,16.4,26.8,6.0,,6.335582178,2.075
97,3.72637844,8.68,3.0181,6.6407,96.0,96,97,96,95,12.5,13.9,11.0,35.3,48.4,23.8,7.0,12.3,2.5,25.2,41.8,10.7,33.0,5.838123079,1.213
98,3.87742233,8.73,3.0838,6.6503,97.0,98,96,98,99,12.0,13.3,10.6,33.8,46.5,22.7,6.0,10.4,2.2,25.3,42.0,10.9,31.0,5.640087928,1.31
99,3.56190658,8.72,3.0885,6.6468,98.0,98,92,97,98,11.5,12.8,10.2,33.9,47.0,22.5,5.7,10.0,2.0,29.5,49.5,12.2,33.0,5.477062257,1.345
100,3.19206929,8.75,3.1177,6.6081,95.0,90,84,94,91,11.1,12.3,9.8,33.5,46.5,22.1,5.2,9.1,1.9,24.8,41.6,10.4,33.0,5.371829209,1.458
101,3.84805918,9.4,3.4904,7.544,94.0,71,66,75,74,10.6,11.7,9.4,30.8,42.8,20.6,4.1,7.1,1.6,17.0,28.3,7.4,27.0,5.279024992,1.473
102,3.68650508,9.38,3.483,7.4719,92.0,52,48,56,57,10.1,11.2,8.9,29.7,41.4,19.9,3.5,6.0,1.4,15.4,25.4,6.9,25.0,5.192124866,1.443
103,3.42371178,9.05,3.4842,7.4711,90.0,50,21,67,54,9.6,10.6,8.5,28.3,39.8,18.8,3.1,5.3,1.3,15.2,25.1,6.7,23.0,5.084500239,1.459
104,3.74045849,8.91,3.491,7.5132,95.0,76,46,79,72,9.2,10.1,8.1,28.2,39.8,18.5,3.0,5.0,1.2,15.5,25.6,6.9,24.0,4.994689537,1.531
105,3.33902359,8.8,3.4965,7.5702,95.0,76,46,79,72,8.8,9.7,7.8,27.4,38.7,17.9,2.7,4.5,1.1,14.6,24.0,6.4,23.0,4.913467117,1.506
106,3.45070887,7.46,2.9923,6.661,39.0,23,22,56,45,8.4,9.3,7.5,27.7,39.3,18.0,2.7,4.6,1.1,13.7,22.8,6.0,24.0,4.830082279,1.498
107,3.68684411,,,,39.0,23,22,56,51,8.1,9.0,7.2,26.2,37.5,16.8,2.3,3.9,1.0,12.9,21.1,5.8,21.0,4.752429111,1.506
108,3.63954043,,,,75.0,19,26,42,56,7.9,8.7,7.0,26.0,37.4,16.6,2.3,3.8,1.0,13.6,22.4,6.1,20.0,4.68263156,1.466
109,3.51563644,,,,84.0,50,52,86,48,7.6,8.4,6.8,25.1,36.2,16.0,2.3,3.9,1.0,10.3,16.9,4.7,19.0,4.637310948,1.374
110,3.70307088,,,,90.0,69,67,91,71,7.4,8.1,6.6,26.1,37.6,16.4,2.5,4.3,1.0,10.0,16.4,4.5,,4.586153032,1.301
111,3.61739,,,,84.0,80,76,93,78,7.2,7.9,6.4,25.5,36.9,16.0,2.5,4.3,1.0,10.2,16.7,4.6,,4.52216669,1.228
112,3.609868,,,,84.0,80,76,93,78,7.2,7.9,6.4,25.5,36.9,16.0,2.5,4.3,1.0,10.2,16.7,4.6,,4.52216669,1.228
113,1.87179852,2.34,0.6139,0.831,95.0,95,94,95,94,19.8,22.6,17.0,21.8,30.0,14.5,1.1,1.8,0.4,24.6,39.5,10.1,54.0,11.04202458,1.894
114,1.94260073,2.66,0.6239,0.8797,95.0,94,93,93,94,19.4,22.1,16.6,21.9,30.2,14.5,1.1,1.8,0.4,24.5,39.3,9.9,51.0,10.70142715,1.899
115,1.92918253,,0.6415,0.95,94.0,92,67,83,92,19.1,21.7,16.3,22.2,30.6,14.7,1.1,1.9,0.3,24.3,39.1,9.8,49.0,10.42018809,1.907
116,1.93949449,2.9,0.6648,1.0207,92.0,93,87,92,93,18.8,21.3,16.1,22.4,30.9,14.7,1.1,1.9,0.3,24.8,39.5,10.3,49.0,10.12715161,1.918
117,1.91883636,3.1,0.6982,1.1081,97.0,96,94,97,97,18.5,21.0,15.9,22.4,31.0,14.7,1.1,1.9,0.3,24.6,39.3,10.1,48.0,9.866761996,1.928
118,2.36388922,2.91,0.71,1.2327,94.0,93,88,98,94,18.3,20.7,15.7,22.4,30.9,14.6,1.1,1.8,0.3,25.6,40.9,10.5,47.0,9.618465304,1.938
119,2.27284098,,,,98.0,95,95,96,96,18.0,20.4,15.5,22.3,30.9,14.5,1.1,1.9,0.3,25.3,40.4,10.4,47.0,9.4024657,1.949
120,2.63144064,2.5,0.8209,1.4524,98.0,97,97,96,97,17.8,20.2,15.3,22.3,30.8,14.5,1.1,1.9,0.3,25.4,40.4,10.4,46.0,9.15135083,1.962
121,2.98447061,3.18,,0.2867,95.0,59,59,98,93,17.6,20.0,15.1,22.2,30.7,14.4,1.1,1.9,0.3,25.0,39.7,10.4,46.0,8.928783721,1.978
122,2.42650223,2.6,0.783,1.4299,96.0,95,95,97,96,17.4,19.7,15.0,22.1,30.5,14.3,0.9,1.6,0.2,24.7,39.1,10.3,45.0,8.669566016,1.996
123,2.36332679,,0.7963,1.4228,97.0,97,97,97,97,17.2,19.5,14.8,21.9,30.3,14.2,0.9,1.6,0.2,25.4,40.2,10.7,45.0,8.447159985,2.014
124,2.68424773,,0.8281,1.4463,95.0,96,96,99,95,16.9,19.2,14.6,21.8,30.0,14.1,0.9,1.6,0.2,26.7,42.1,11.4,44.0,8.283500882,2.03
125,2.7320714,,,,97.0,94,94,97,94,16.6,18.8,14.3,21.6,29.7,14.0,0.9,1.6,0.2,27.8,43.8,11.9,43.0,8.115557223,2.042
126,2.69621015,,,,95.0,75,75,97,90,16.3,18.4,14.0,21.4,29.4,13.9,0.9,1.5,0.2,29.2,45.8,12.6,,7.98299994,2.049
127,2.88,,,,96.0,89,89,95,89,15.9,18.0,13.7,21.2,29.1,13.7,0.9,1.5,0.2,30.6,47.8,13.3,,7.812429647,2.05
128,2.9846,,,,96.0,89,89,95,89,15.9,18.0,13.7,21.2,29.1,13.7,0.9,1.5,0.2,30.6,47.8,13.3,,7.812429647,2.05
129,0.76303691,0.41,0.5885,1.2907,86.0,65,8,68,65,55.7,54.9,56.6,22.5,26.0,18.9,0.5,0.6,0.4,15.9,24.2,6.9,286.0,25.85683533,2.972
130,0.7453534,0.42,0.6012,,86.0,65,6,69,66,53.7,52.9,54.4,22.8,26.4,19.1,0.5,0.6,0.4,16.3,25.0,6.9,270.0,24.82704155,2.899
131,0.73512709,0.41,0.6182,,87.0,64,6,70,67,51.6,50.8,52.4,23.1,26.9,19.3,0.5,0.6,0.4,16.7,25.7,6.9,255.0,23.67103712,2.823
132,0.79527897,0.41,0.6342,,86.0,70,29,72,69,49.4,48.7,50.3,23.3,27.4,19.1,0.5,0.6,0.3,17.1,26.6,6.9,240.0,22.45881827,2.743
133,0.89261264,0.44,0.6518,,88.0,74,37,78,73,47.3,46.6,48.1,23.2,27.5,18.7,0.4,0.5,0.3,17.0,26.5,6.8,225.0,21.27074962,2.661
134,0.85750186,0.47,0.6858,,89.0,79,38,82,76,45.1,44.4,45.9,23.7,28.0,19.1,0.4,0.5,0.3,17.2,26.7,6.8,210.0,20.169352,2.581
135,0.93731916,0.63,0.7376,,90.0,82,44,84,79,43.0,42.3,43.7,23.9,28.0,19.5,0.4,0.5,0.3,17.4,27.1,6.9,197.0,19.31459691,2.506
136,0.93186861,0.49,0.6982,,90.0,82,73,83,79,40.9,40.4,41.5,23.7,27.5,19.7,0.3,0.5,0.2,17.6,27.4,7.0,185.0,18.80296019,2.439
137,0.86504191,0.49,0.717,,91.0,83,70,83,82,38.8,38.4,39.3,22.7,26.0,19.3,0.3,0.4,0.2,17.0,26.2,7.0,175.0,18.28673217,2.381
138,0.85653549,0.52,0.7247,,89.0,85,79,85,84,36.9,36.5,37.2,22.0,24.9,19.0,0.3,0.4,0.2,16.1,24.6,7.0,166.0,17.77420558,2.333
139,0.92193186,0.58,0.7329,,87.0,87,87,87,86,34.9,34.7,35.2,22.6,25.4,19.8,0.3,0.4,0.2,15.6,23.5,7.0,158.0,16.95294819,2.295
140,0.94229215,0.48,0.759,,89.0,88,88,88,86,33.1,32.9,33.3,22.6,25.4,19.7,0.3,0.3,0.2,15.3,23.0,7.0,150.0,16.05745983,2.266
141,0.95910567,0.53,0.7779,2.1079,92.0,89,89,90,89,31.4,31.3,31.4,22.2,25.0,19.3,0.3,0.3,0.2,15.2,22.7,6.9,145.0,15.17060092,2.243
142,0.95529789,,0.6857,1.7271,92.0,90,90,93,90,29.7,29.7,29.7,22.0,24.7,19.1,0.3,0.3,0.2,15.5,23.4,7.0,,14.43921213,2.222
143,0.97385,,0.9281,2.3885,92.0,91,91,95,90,28.3,28.3,28.2,21.9,24.6,19.0,0.3,0.3,0.2,15.6,23.4,7.0,,13.9275706,2.202
144,0.98554,,0.9281,2.3885,92.0,91,91,95,90,28.3,28.3,28.2,21.9,24.6,19.0,0.3,0.3,0.2,15.6,23.4,7.0,,13.9275706,2.202
